cpus,batch_size,total_batches,no_params,epoch_no,duration
8,32,1563,41206970,4,5.199333429336548
8,32,1563,41206970,4,5.6981446743011475
8,32,1563,41206970,4,5.493783950805664
8,32,1563,41206970,4,5.2899346351623535
8,32,1563,41206970,4,5.699184894561768
8,32,1563,29787522,0,6.410228252410889
8,32,1563,29787522,0,8.599982976913452
8,32,1563,29787522,0,6.2977800369262695
8,32,1563,29787522,0,4.900491952896118
8,32,1563,29787522,0,5.213024854660034
8,32,1563,29787522,0,6.299007177352905
8,32,1563,29787522,0,5.403690576553345
8,32,1563,29787522,0,5.396255970001221
8,32,1563,29787522,0,5.997944593429565
8,32,1563,29787522,0,5.496658802032471
8,32,1563,29787522,0,5.8989951610565186
8,32,1563,29787522,1,5.208978176116943
8,32,1563,29787522,1,4.723621368408203
8,32,1563,29787522,1,5.4997642040252686
8,32,1563,29787522,1,5.19427752494812
8,32,1563,29787522,1,5.696651220321655
8,32,1563,29787522,1,6.10429310798645
8,32,1563,29787522,1,5.59553861618042
8,32,1563,29787522,1,5.61926794052124
8,32,1563,29787522,1,5.495640516281128
8,32,1563,29787522,1,5.497491836547852
8,32,1563,29787522,1,5.6998207569122314
8,32,1563,29787522,2,4.9963154792785645
8,32,1563,29787522,2,5.09975004196167
8,32,1563,29787522,2,5.019790410995483
8,32,1563,29787522,2,4.892665386199951
8,32,1563,29787522,2,5.715723991394043
8,32,1563,29787522,2,4.996353387832642
8,32,1563,29787522,2,5.201096773147583
8,32,1563,29787522,2,5.502817392349243
8,32,1563,29787522,2,5.396007776260376
8,32,1563,29787522,2,5.293210983276367
8,32,1563,29787522,2,5.197357416152954
8,32,1563,29787522,3,5.809707164764404
8,32,1563,29787522,3,5.599025011062622
8,32,1563,29787522,3,5.097321033477783
8,32,1563,29787522,3,5.697821378707886
8,32,1563,29787522,3,5.503458261489868
8,32,1563,29787522,3,5.496113061904907
8,32,1563,29787522,3,5.206397533416748
8,32,1563,29787522,3,5.300294876098633
8,32,1563,29787522,3,5.312204599380493
8,32,1563,29787522,3,5.398886203765869
8,32,1563,29787522,3,5.303996562957764
8,32,1563,29787522,4,5.596868515014648
8,32,1563,29787522,4,5.799992084503174
8,32,1563,29787522,4,5.29241418838501
8,32,1563,29787522,4,5.201564788818359
8,32,1563,29787522,4,5.406288385391235
8,32,1563,29787522,4,5.403703927993774
8,32,1563,29787522,4,5.703049421310425
8,32,1563,29787522,4,5.104489088058472
8,32,1563,29787522,4,6.097156286239624
8,32,1563,29787522,4,4.793859243392944
8,32,1563,29787522,4,4.897555112838745
8,64,782,57044810,0,9.092190980911255
8,64,782,57044810,0,9.798001766204834
8,64,782,57044810,0,9.09071159362793
8,64,782,57044810,0,9.091619491577148
8,64,782,57044810,0,9.104171991348267
8,64,782,57044810,0,8.696141242980957
8,64,782,57044810,0,7.99882698059082
8,64,782,57044810,0,8.298646688461304
8,64,782,57044810,0,8.401792049407959
8,64,782,57044810,0,8.009406328201294
8,64,782,57044810,0,7.796972274780273
8,64,782,57044810,1,7.807300090789795
8,64,782,57044810,1,8.009433269500732
8,64,782,57044810,1,8.609121799468994
8,64,782,57044810,1,7.782017946243286
8,64,782,57044810,1,7.5927581787109375
8,64,782,57044810,1,7.79347825050354
8,64,782,57044810,1,7.697641372680664
8,64,782,57044810,1,8.412281274795532
8,64,782,57044810,1,7.893797397613525
8,64,782,57044810,1,8.299571514129639
8,64,782,57044810,1,9.096641540527344
8,64,782,57044810,2,7.896197557449341
8,64,782,57044810,2,7.6996259689331055
8,64,782,57044810,2,8.298834085464478
8,64,782,57044810,2,8.49827265739441
8,64,782,57044810,2,7.895883560180664
8,64,782,57044810,2,8.102337121963501
8,64,782,57044810,2,8.104965925216675
8,64,782,57044810,2,7.994136333465576
8,64,782,57044810,2,7.89185094833374
8,64,782,57044810,2,8.595493078231812
8,64,782,57044810,2,8.193766355514526
8,64,782,57044810,3,8.106841325759888
8,64,782,57044810,3,7.892856121063232
8,64,782,57044810,3,7.708023548126221
8,64,782,57044810,3,8.398247718811035
8,64,782,57044810,3,8.094081401824951
8,64,782,57044810,3,8.090075492858887
8,64,782,57044810,3,7.6974804401397705
8,64,782,57044810,3,7.8946003913879395
8,64,782,57044810,3,8.291903734207153
8,64,782,57044810,3,7.997527837753296
8,64,782,57044810,3,7.891267538070679
8,64,782,57044810,4,7.705327272415161
8,64,782,57044810,4,7.895714998245239
8,64,782,57044810,4,8.295127868652344
8,64,782,57044810,4,7.897209405899048
8,64,782,57044810,4,8.093697547912598
8,64,782,57044810,4,7.79496169090271
8,64,782,57044810,4,7.697981595993042
8,64,782,57044810,4,8.700671195983887
8,64,782,57044810,4,8.197704315185547
8,64,782,57044810,4,8.888471126556396
8,64,782,57044810,4,7.79581880569458
8,64,782,41206970,0,8.094430685043335
8,64,782,41206970,0,8.99975299835205
8,64,782,41206970,0,7.702951669692993
8,64,782,41206970,0,8.289952754974365
8,64,782,41206970,0,7.090791463851929
8,64,782,41206970,0,7.402042627334595
8,64,782,41206970,0,7.503448009490967
8,64,782,41206970,0,7.70378303527832
8,64,782,41206970,0,7.785956859588623
8,64,782,41206970,0,7.5115015506744385
8,64,782,41206970,0,7.20072078704834
8,64,782,41206970,1,7.6998491287231445
8,64,782,41206970,1,7.987642288208008
8,64,782,41206970,1,8.203794240951538
8,64,782,41206970,1,7.693441152572632
8,64,782,41206970,1,7.398227214813232
8,64,782,41206970,1,7.895355701446533
8,64,782,41206970,1,7.184735059738159
8,64,782,41206970,1,7.391229629516602
8,64,782,41206970,1,7.192436933517456
8,64,782,41206970,1,7.596288204193115
8,64,782,41206970,1,7.492551565170288
8,64,782,41206970,2,7.796682119369507
8,64,782,41206970,2,7.799328327178955
8,64,782,41206970,2,7.196182012557983
8,64,782,41206970,2,7.3989691734313965
8,64,782,41206970,2,7.692133188247681
8,64,782,41206970,2,7.491285562515259
8,64,782,41206970,2,6.8972554206848145
8,64,782,41206970,2,7.711847543716431
8,64,782,41206970,2,7.194586992263794
8,64,782,41206970,2,7.201925277709961
8,64,782,41206970,2,7.393763542175293
8,64,782,41206970,3,7.200493574142456
8,64,782,41206970,3,7.206520080566406
8,64,782,41206970,3,7.506047010421753
8,64,782,41206970,3,7.390738487243652
8,64,782,41206970,3,7.490267992019653
8,64,782,41206970,3,7.401702880859375
8,64,782,41206970,3,7.291552782058716
8,64,782,41206970,3,7.101902961730957
8,64,782,41206970,3,7.204393148422241
8,64,782,41206970,3,7.094182968139648
8,64,782,41206970,3,7.495349884033203
8,64,782,41206970,4,7.393158435821533
8,64,782,41206970,4,7.208565950393677
8,64,782,41206970,4,6.986743927001953
8,64,782,41206970,4,7.2977135181427
8,64,782,41206970,4,7.5870325565338135
8,64,782,41206970,4,7.3888325691223145
8,64,782,41206970,4,7.3978111743927
8,64,782,41206970,4,7.603813648223877
8,64,782,41206970,4,7.592883825302124
8,64,782,41206970,4,7.702276706695557
8,64,782,41206970,4,8.093459367752075
8,64,782,29787522,0,7.6989076137542725
8,64,782,29787522,0,8.002521514892578
8,64,782,29787522,0,8.496922969818115
8,64,782,29787522,0,7.517993450164795
8,64,782,29787522,0,7.117065191268921
8,64,782,29787522,0,7.299201726913452
8,64,782,29787522,0,7.5114521980285645
8,64,782,29787522,0,7.399022817611694
8,64,782,29787522,0,6.898289442062378
8,64,782,29787522,0,6.91188383102417
8,64,782,29787522,0,7.595010995864868
8,64,782,29787522,1,7.5937347412109375
8,64,782,29787522,1,7.111724853515625
8,64,782,29787522,1,7.004795074462891
8,64,782,29787522,1,7.705024242401123
8,64,782,29787522,1,7.991409540176392
8,64,782,29787522,1,7.2956154346466064
8,64,782,29787522,1,7.008402347564697
8,64,782,29787522,1,6.887544631958008
8,64,782,29787522,1,6.9867377281188965
8,64,782,29787522,1,7.5891828536987305
8,64,782,29787522,1,7.1964662075042725
8,64,782,29787522,2,7.40075421333313
8,64,782,29787522,2,7.501482725143433
8,64,782,29787522,2,7.699836730957031
8,64,782,29787522,2,7.097611904144287
8,64,782,29787522,2,7.091250896453857
8,64,782,29787522,2,7.1041953563690186
8,64,782,29787522,2,7.305922269821167
8,64,782,29787522,2,7.088236331939697
8,64,782,29787522,2,7.789683103561401
8,64,782,29787522,2,7.514668226242065
8,64,782,29787522,2,7.003243923187256
8,64,782,29787522,3,7.2007081508636475
8,64,782,29787522,3,7.194544792175293
8,64,782,29787522,3,7.009482383728027
8,64,782,29787522,3,6.805315732955933
8,64,782,29787522,3,7.098459959030151
8,64,782,29787522,3,7.090119123458862
8,64,782,29787522,3,7.201374530792236
8,64,782,29787522,3,6.792489290237427
8,64,782,29787522,3,6.992621183395386
8,64,782,29787522,3,7.195798635482788
8,64,782,29787522,3,7.209949970245361
8,64,782,29787522,4,7.496411561965942
8,64,782,29787522,4,7.393915176391602
8,64,782,29787522,4,7.497334003448486
8,64,782,29787522,4,7.897949934005737
8,64,782,29787522,4,6.926054239273071
