cpus,batch_size,no_params,epoch_no,duration
2,32,57044810,0,3.2046875953674316
2,32,57044810,0,3.002530813217163
2,32,57044810,0,2.900723695755005
2,32,57044810,0,2.7989680767059326
2,32,57044810,0,2.807558059692383
2,32,57044810,0,2.798942804336548
2,32,57044810,0,2.8937337398529053
2,32,57044810,0,2.805172920227051
2,32,57044810,0,2.901446580886841
2,32,57044810,0,2.9075074195861816
2,32,57044810,0,3.0031394958496094
2,32,57044810,1,2.9024996757507324
2,32,57044810,1,2.8074376583099365
2,32,57044810,1,3.100367784500122
2,32,57044810,1,3.0051796436309814
2,32,57044810,1,3.0955004692077637
2,32,57044810,1,2.9071946144104004
2,32,57044810,1,2.907400131225586
2,32,57044810,1,2.8945517539978027
2,32,57044810,1,2.8948464393615723
2,32,57044810,1,2.901840925216675
2,32,57044810,1,2.8954668045043945
2,32,57044810,2,2.8980960845947266
2,32,57044810,2,2.9067656993865967
2,32,57044810,2,2.8989737033843994
2,32,57044810,2,3.0015687942504883
2,32,57044810,2,2.9021167755126953
2,32,57044810,2,2.7993314266204834
2,32,57044810,2,2.693516731262207
2,32,57044810,2,2.896104097366333
2,32,57044810,2,3.000030755996704
2,32,57044810,2,2.9062094688415527
2,32,57044810,2,2.599778413772583
2,32,57044810,3,2.807090997695923
2,32,57044810,3,2.898893356323242
2,32,57044810,3,2.9994895458221436
2,32,57044810,3,2.9044454097747803
2,32,57044810,3,2.8983123302459717
2,32,57044810,3,2.9946820735931396
2,32,57044810,3,2.899245500564575
2,32,57044810,3,2.8068997859954834
2,32,57044810,3,2.893307685852051
2,32,57044810,3,2.8982455730438232
2,32,57044810,3,2.700343370437622
2,32,57044810,4,2.806769371032715
2,32,57044810,4,2.8939943313598633
2,32,57044810,4,2.7013213634490967
2,32,57044810,4,2.8037590980529785
2,32,57044810,4,3.100583076477051
2,32,57044810,4,3.0030102729797363
2,32,57044810,4,3.0071263313293457
2,32,57044810,4,2.8995935916900635
2,32,57044810,4,2.9007821083068848
2,32,57044810,4,2.897426128387451
2,32,57044810,4,2.80428147315979
